transaction_id,transaction_date,transaction_timestamp,channel,store_id,customer_id,session_id,device_type,utm_source,product_id,category,product_name,quantity,unit_price,total_amount,payment_method,is_returned
TXN-0000001,2025-11-24,2025-11-24T19:06:43,offline,95,CUST-022791,,,,laptops_001,laptops,Laptops Model 1,1,11314.89,11314.89,installment,False
TXN-0000002,2025-02-17,2025-02-17T19:41:44,online,,CUST-142854,9a20829a,mobile,direct,tv_008,tv,Tv Model 8,1,28149.00,28149.00,card_online,False
TXN-0000003,2026-01-24,2026-01-24T11:48:21,offline,14,,,,,networking_006,networking,Networking Model 6,2,14036.99,28073.98,card_pos,False
TXN-0000004,2025-06-26,2025-06-26T09:59:24,offline,11,CUST-164795,,,,climate_009,climate,Climate Model 9,3,23078.36,69235.08,cash,False
TXN-0000005,2025-12-27,2025-12-27T21:14:55,offline,13,CUST-118859,,,,laptops_002,laptops,Laptops Model 2,2,49263.03,98526.06,cash,False
TXN-0000006,2025-07-01,2025-07-01T17:40:10,online,,CUST-140022,d2907bb3,desktop,google,tv_022,tv,Tv Model 22,3,32471.16,97413.48,card_online,False
TXN-0000007,2025-11-24,2025-11-24T20:03:14,online,,CUST-008415,f7b78af7,desktop,direct,wearables_018,wearables,Wearables Model 18,2,42173.03,84346.06,card_online,False
TXN-0000008,2025-10-18,2025-10-18T18:29:09,online,,CUST-069437,0ae0fcd3,mobile,organic,printers_023,printers,Printers Model 23,3,25060.72,75182.16,installment,False
TXN-0000009,2025-08-08,2025-08-08T10:32:31,online,,CUST-023832,8d413efa,desktop,facebook,printers_019,printers,Printers Model 19,1,49865.82,49865.82,card_online,False
TXN-0000010,2025-12-15,2025-12-15T15:33:16,online,,CUST-145025,711b6e8d,desktop,google,accessories_020,accessories,Accessories Model 20,2,29874.24,59748.48,card_pos,False
TXN-0000011,2025-10-02,2025-10-02T14:10:29,offline,1,CUST-188660,,,,networking_009,networking,Networking Model 9,2,5754.30,11508.60,cash,False
TXN-0000012,2026-01-26,2026-01-26T18:32:38,marketplace,,CUST-052144,81246e20,mobile,,tablets_017,tablets,Tablets Model 17,3,15061.55,45184.65,card_pos,False
